row,pgid,code,station,desc,lat,long,zone,line,dir,order,Unnamed: 11,line_dir,node_id
1,14549,28581,÷ôìï/àìåó îðãìø, øçåá:àìéòæø ÷ôìï 25 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.073476,34.787409999999994,5000,56,N,1,,56N,401
2,12825,21024,ìéàåðøãå ãä åéðö'é/÷ôìï, øçåá:ìéàåðøãå ãä åéðö'é 11 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.073875,34.784808,5000,56,N,2,,56N,402
3,12893,21150,ìåðãåï îéðéñèåø/ùã' ùàåì äîìê, øçåá:ùãøåú ùàåì äîìê 9 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.075664,34.782893,5000,56,N,3,,56N,403
4,13600,25635,ëéëø øáéï/àáï âáéøåì, øçåá:àáï âáéøåì 66 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.079933000000004,34.781409000000004,5000,56,N,4,,56N,404
5,12878,21123,òéøééú ú''à/àáï âáéøåì, øçåá:àáï âáéøåì 88 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.082493,34.781427,5000,56,N,5,,56N,405
6,12897,21158,àáï âáéøåì/àøìåæøåá, øçåá:àáï âáéøåì 120 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.086059000000006,34.782024,5000,56,N,6,,56N,406
7,14590,28622,àáï âáéøåì/æ'áåèéðñ÷é, øçåá:àáï âáéøåì 130 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.087632,34.782348999999996,5000,56,N,7,,56N,407
8,12881,21127,àáï âáéøåì/ôð÷ñ, øçåá:àáï âáéøåì 154 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.089768,34.782734999999995,5000,56,N,8,,56N,408
9,13318,23012,ëéëø îéìàðå/àáï âáéøåì, øçåá:àáï âáéøåì 186 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.094344,34.783628,5000,56,N,9,,56N,409
10,13717,25893,ëéëø îéìàðå/àáï âáéøåì, øçåá:àáï âáéøåì 181 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.093619,34.783271,5000,56,S,1,,56S,410
11,13694,25852,àáï âáéøåì/ôð÷ñ, øçåá:àáï âáéøåì 147 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.090246,34.782604,5000,56,S,2,,56S,411
12,13680,25829,àáï âáéøåì/æ'áåèéðñ÷é, øçåá:àáï âáéøåì 113 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.087089,34.782004,5000,56,S,3,,56S,412
13,12896,21157,àáï âáéøåì/àøìåæøåá, øçåá:àáï âáéøåì 103 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.086335999999996,34.781859000000004,5000,56,S,4,,56S,413
14,13679,25823,òéøééú ú''à/àáï âáéøåì, øçåá:àáï âáéøåì  òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.082462,34.781145,5000,56,S,5,,56S,414
15,13127,21516,ëéëø øáéï/àáï âáéøåì, øçåá:àáï âáéøåì 63 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.078796000000004,34.781162,5000,56,S,6,,56S,415
16,12858,21100,ìåðãåï îéðéñèåø/ùã' ùàåì äîìê, øçåá:ùãøåú ùàåì äîìê 2 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.07545,34.782271,5000,56,S,7,,56S,416
17,13634,25721,ãåáðåá/÷ôìï, øçåá:ãåáðåá 1 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.074017,34.783511,5000,56,S,8,,56S,417
18,14338,27005,÷ôìï/àìåó îðãìø, øçåá:àìéòæø ÷ôìï 24 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.073253,34.786797,5000,56,S,9,,56S,418
19,13507,25392,äòìéä/ôøð÷ì, øçåá:äòìééä 45 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.056571999999996,34.772942,5000,172,N,1,,172N,419
20,13508,25393,äòìéä/ååìôñåï, øçåá:äòìééä 25 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.058552,34.773475,5000,172,N,2,,172N,420
21,13514,25409,àìðáé/ãøê áâéï, øçåá:àìðáé 121 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.061256,34.773752,5000,172,N,3,  ,172N,421
33,13293,22984,àìðáé/àçã äòí, øçåá:àìðáé 105 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.063839,34.772919,5000,172,N,4,,172N,422
22,13326,23021,àìðáé/îæà''ä, øçåá:àìðáé 79 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.066604999999996,34.771696999999996,5000,172,N,5,,172N,423
23,13315,23009,ùå÷ äëøîì/àìðáé, øçåá:àìðáé 59 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.068872,34.770828,5000,172,N,6,,172N,424
24,13559,25557,äîìê âåøâ/äçùîåðàéí, øçåá:äîìê â'åøâ' 24 òéø: úì àáéá éôå øöéó:   ÷åîä:  ,32.071863,34.773474,5000,172,N,7,,172N,425
